International number ID,date,Latitude of the center,Longitude of the center,Central pressure,timestamp
406,2004-06-28 18:00:00,48.33173263912522,181.58957206150035,993.5085152111042,1088416800
406,2004-06-29 00:00:00,48.43226587072331,182.941389065385,990.8768342624771,1088438400
406,2004-06-29 06:00:00,48.50541284944666,184.254209610222,988.1092635064715,1088460000
406,2004-06-29 12:00:00,48.55470334116944,185.5269008823102,985.2107873092218,1088481600
406,2004-06-29 18:00:00,48.58341883920002,186.7584473195966,982.1870050213229,1088503200
1215,2012-09-02 00:00:00,53.59127426899249,185.5270766525864,987.8071410361645,1346515200
1215,2012-09-02 06:00:00,53.374941194066196,189.11071700681214,985.2506719417142,1346536800
1215,2012-09-02 12:00:00,53.05699268162243,192.63114266157118,982.3349385099664,1346558400
1215,2012-09-02 18:00:00,52.64359813792362,196.06939751736263,979.0670109010825,1346580000
1215,2012-09-03 00:00:00,52.14115497381681,199.40739735358375,975.4565895913438,1346601600
310,2003-08-12 00:00:00,54.72378710662815,154.67933204713995,992.8357012031847,1060617600
310,2003-08-12 06:00:00,56.66137968594194,155.7272718340762,995.5180589807533,1060639200
310,2003-08-12 12:00:00,58.374485389074835,156.97269892397617,998.1891778330464,1060660800
310,2003-08-12 18:00:00,60.01372214137882,158.33988764682067,1000.9041275078307,1060682400
310,2003-08-13 00:00:00,61.64085285814144,159.7936216319763,1003.6816979128635,1060704000
1109,2011-08-15 18:00:00,58.816491589926954,146.13885346799998,1001.8672446598521,1313402400
1109,2011-08-16 00:00:00,60.04216570306926,146.36979102177065,1003.6455370359763,1313424000
1109,2011-08-16 06:00:00,61.19425997498729,146.67560989697267,1005.3488947019068,1313445600
1109,2011-08-16 12:00:00,62.28667415066957,147.04235943425556,1006.9887101959121,1313467200
1109,2011-08-16 18:00:00,63.330617937244824,147.45871657304588,1008.5742622164889,1313488800
1821,2018-09-07 12:00:00,63.405476540017844,136.50340043637516,999.3032861051925,1536292800
1821,2018-09-07 18:00:00,64.89600209906348,136.6736335178466,1002.5918865694839,1536314400
